album,year,song,lyrics
views,2016,One Dance,Baby I like your style Grips on your waist Front way back way You know that I don't play Streets not safe But I never run away Even when I'm away Oti oti there's never much love when we go OT I pray to make it back in one piece I pray I pray That's why I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me Baby I like your style Strength and guidance All that I'm wishing for my friends Nobody makes it from my ends I had to bust up the silence You know you gotta stick by me Soon as you see the text reply me I don't wanna spend time fighting We've got no time And that's why I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me Got a pretty girl and she love me long time Wine it wine it very long time Oh yeah she steady on grindin' Back up back up back up and wine it Back up back up and wine it Back up back up back up and wine it Oh yeah she steady on grindin' Back up back up and wine it girl Tell me I need to know where do you wanna go? 'Cause if you're down I'll take it slow Make you lose control Where where where Where where where where Oh yeah she steady on grindin' Where where where Back up back up and wine it girl Where where where where 'Cause if you're down Back up back up and 'Cause if you're down Back up back up and 'Cause if you're down Back up back up and I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me
views,2016,GRAMMYs,Yeah yeah Yeah yeah Jheeze yeah Right look look Tell me how you really feel Tell me how you really feel I would ask you what's the deal But you don't even got a deal Most niggas with a deal Couldn't make a greatest hits Y'all a whole lot of things But you still ain't this I don't know no one That could tell me what to do Heard you never claimed the hood Hear the hood claimed you That can't sit well Oh well ship sailed Still mine all mine Cosign cosign I pull up in yachts so big that they try to hit me with boat fines Hype Williams Big Pimpin' Yeah Just like the old times Same niggas from the old days Lot of sides on the same side OVO we a gold mine But I'm goin' gold in no time Doing plat plat only Boys better back off me Hall of fame hall of fame Like I'm shirt off like I'm shirt off Like I'm shirt off shorty Whole city goin' crazy whole city goin' crazy Top 5 no debating Top 5 top 5 top 5 And the whole city rave me And I'm back inside a matrix And I said that we would make it Aim squad with some traitors Knew my niggas from the basement This ain't no metal on the way shit We done really put some days in Hey why you so excited? You know what I'm sayin'? What happened? Did you win the Grammy? God damn You acting like you fucking won a trophy and shit This nigga turnt the fuck up They gon' think I won a Grammy They gon' think I won a Grammy Swervin' out the Panoramic I'm hangin' out they can't stand me They gon' think I won a Grammy They gon' think I won a Grammy They gon' think I won a Grammy They gon' think I won a Grammy I'm showin' out they can't stand me I'm showin out they can't stand me I'm swervin' off they can't stand me I'm err off can't stand me They gon' think I won a Grammy They gon' think I won a Grammy They gon' think I won a Grammy They gon' think I won a Grammy Gonna peel off like a bandit I'm noddin' off on a Xanax Get pissed off start airin' it Get a head start ain't friendly I stand out I don't blend in When I say that I meant that I don't want to talk to you has beens I don't want features or ad libs I don't want features or nothin' You can't even get on my guest list They want me to go to the Met Gala I want a Percocet and a gallon That Actavis Hi Tech it don't matter We sittin' right on the courtside I know the players on both side I'm cashin' out fuck a cosign I wear the chain like a bowtie I wear the ring like a fo' five Keep a fo' five for the po' guys Black tints low profile Celebratin' everyday cause I'm really really fresh out the coke house Countin' up every single day 'Bout to bring a whole 'nother whip out They gon' think I won a Grammy They gon' think I won a Grammy Swervin' out the Panoramic I'm hangin' out they can't stand me They gon' think I won a Grammy They gon' think I won a Grammy They gon' think I won a Grammy They gon' think I won a Grammy I'm showin' out they can't stand me I'm showin' out they can't stand me I'm swervin' off they can't stand me I'm err off can't stand me They gon' think I won a Grammy They gon' think I won a Grammy They gon' think I won a Grammy They gon' think I won a Grammy
views,2016,Childs Play,Breaking news my niggas If your girlfriend has went to any Season opener basketball game Best believe she's fucking some niggas on that team She's fucking somebody on the basketball team If she's at the game Right right yeah I say bounce that shit like woah Yeah bounce that shit like woah This is not a fairytale I already know how you like it Take you to the mall and get you a new outfit Girl that's just some child's play Bounce that shit like woah woah woah Woah woah heard all of the stories about you I already know and I like it Take you to the mall and get you a new outfit Girl that's just some child's play Bounce that shit like woah yeah Bounce that shit like woah Why you gotta fight with me at Cheesecake You know I love to go there Say I'm actin' lightskin I can't take you nowhere This a place for families that drive Camrys and go to Disney They don't need to know all of our business You wildin' you super childish you go to CVS for Kotex In my Bugatti I took the key and tried to hide it So you can't drive it and put on mileage Then you find it awkward silence Momma is a saint yes she raised me real good All because of her I don't do you like I should Don't make me give you back to the hood Don't make me give you back I say bounce that shit like woah Yeah bounce that shit like woah This is not a fairytale I already know how you like it Take you to the mall and get you a new outfit Girl that's just some child's play Bounce that shit like woah woah woah Woah woah heard all of the stories about you I already know and I like it Take you to the mall and get you a new outfit Girl that's just some child's play Bounce that shit like woah yeah Bounce that shit like woah Yeah rode that dick like a soldier She rode it like a soldier She rode it like a jungle soldier She rode it like a yeah yeah I got it yeah You don't wanna fall in love I know I'm not someone you should trust I know I give Chanel out like a hug I know I knew a couple of your friends way before How many girls have slept in this bed Say a different number than the one that's in my head Lying to protect you I be doing that a lot My past checkered like the Louis you just got Married in our twenties now where the fun in that? My city love me like a college running back Pack a bag you gon' end up staying where I'm at Took you from the hood and I could never give you back I just wanna let you know that someone love you back All the Cadillac like I'm Teddy Pendergrass Whippin' on this shit I'm getting ready where you at? Riding... She rode that dick like a soldier She rode it like a soldier She rode it like a Melpomene soldier She rode that dick like a soldier She rode it like a soldier She rode it like a jungle soldier Rode that dick like a soldier She rode it like a soldier She rode it like a Melpomene soldier Burrrrat stick it b burrrrat stick it Burrrrat stick it ba ba ba stick it Burrrrat stick it ba ba ba stick it Burrrrat stick it ba ba ba stick it Burrrrat stick it ba ba ba stick it Burrrrat stick it ba ba ba stick it Thank you thank's Drake thanks baby Motherfuckers drunk and tired Tired I'm tired boss
views,2016,Pop Style,Dropped outta school now we dumb rich (dumb rich) This sound like some forty three oh one shit (one shit) All my niggas wanna do is pop style (pop style) Turn my birthday into a lifestyle (lifestyle) Tell my mom I love her if I do not make it (do not make it) Got so many chains they call me Chaining Tatum (They do they do) And I like to finish what you think you started Man you boys just got to Hollywood you boys just started You don't know what you just started All I do is hang with the young and heartless All this for my family man I try my hardest It's all I ever did and look where it got him Yeah you've been on my mind lately You've still got my number girl you need to call me I feel like they wanna see me learn the hard way But you know I always handle that one my way Girl let me rock rock rock rock rock your body Justin Timberlake and then I hit the highway I can't trust no fuckin' body They still out to get me cause they never got me They still out to get me I don't get it I can not be got and that's a given Give a real nigga the number one Even though I got like twenty one Cannot beat me I'm a one of one Schooling your ass like one on one They been out here tryna slide on me They been out here telling lies on me Everybody looking out for themself But they still got they eyes on me See me putting in the hard work now aye Momma doesn't have to call work now aye I decide when I start work now aye Problems hit the gym they all work out MVP MVP oh nine all the way to sixteen Even next season looking like a breeze Lot of y'all ain't built for the league yeah Trade you off the team while you in your sleep yeah Y'all showed me that nothing's guaranteed And you don't know what you started My friend's chain so big that he look like the artist I can't trust no fuckin' body They still out to get me cause they never got me Dropped outta school now we dumb rich (dumb rich) This sound like some forty three oh one shit (one shit) All my niggas wanna do is pop style (pop style) Turn my birthday into a lifestyle (lifestyle)
views,2016,Too Good,Oh yeah yeah yeah Oh yeah yeah yeah Yeah Look... I don't know how to talk to you I don't know how to ask you if you're okay My friends always feel the need to tell me things Seems like they're just happier than us these days Yeah these days I don't know how to talk to you I don't know how to be there when you need me It feels like the only time you see me Is when you turn your head to the side and look at me differently Yeah and last night I think I lost my patience Last night I got high as your expectations Last night I came to a realization And I hope you can take it I hope you can take it I'm too good to you I'm way too good to you You take my love for granted I just don't understand it No I'm too good to you I'm way too good to you You take my love for granted I just don't understand it I don't know how to talk to you I just know I found myself getting lost with you Lately you just make me work too hard for you Got me on flights overseas and I still can't get across to you And last night I think I lost my patience Last night I got high as your expectations Last night I came to a realization And I hope you can take it I hope you can take it I'm too good to you I'm way too good to you You take my love for granted I just don't understand it No I'm too good to you I'm way too good to you You take my love for granted I just don't understand it Years go by too fast I can't keep track How long did we last? I feel bad for asking It can't end like this We gotta take time with this Cock up yuh bumper sit down pon it Let me see if this is something I can fix You got somebody other than me Don't play the victim when you're with me Free time is costing me more than it seems Sacrificing things And I wanna tell you my intentions I wanna do the things that I mention I wanna benefit from the friendship I wanna get the late night message from you from you I put my hands around you Gotta get a handle on you Gotta get a handle on the fact that... I'm too good to you I'm way too good to you You take my love for granted I just don't understand it No I'm too good to you I'm way too good to you You take my love for granted I just don't understand it Gyal a you mi waan Pay fi yuh visa meck yo fly out regular Baby cock up yuh bumper sit down pon it Gyal yo pum pum good and yuh fit Mi wi give you everything weh deh in my wallet And in my pocket Cock up yuh bumper sit down pon it Gyal yo pum pum good and yuh fit Mi wi give you everything weh deh in my wallet And in my pocket
views,2016,Views,"Question is will I ever leave you? The answer is no no no no no no Question is will I ever leave you? The answer is no no no no no no Yeah you feel the pressure man I know the pressure And my wifey is a spice like I'm David Beckham A lot of pent up aggression coming out of my section OVO on me while y'all niggas was playing dress up And I know who gon' take the fall with me They right here on call with me they all with me You could throw curve balls but I got the glove fitted They been saying it's love but it isn't love is it? Toast to the days when they wasn't out to get me I worked at JD's connections whenever Jason let me Ceesay's I was buying fitteds everyday Kenny's caravan and trying not to catch a stray I dropped out right before I graduate Six credits left my mama had a saddest day ""It's only up from here I promise you just gotta wait"" And she took my word for it that's all I had to say Lately I just feel so out of character The paranoia can start to turn into arrogance Thoughts too deep to go work 'em out with a therapist I get a blank page when I try to draw a comparison I'm getting straight to the point with it Need y'all to know that I never needed none of y'all niggas Fuck being all buddy buddy with the opposition It's like a front of the plane nigga it's all business But I haven't flown with y'all boys in a minute Look they'd rather run up on me than towards them goals My niggas still hit the club when it's 20 below Who you think running this show? You saw it in me at 20 years old The lingo start to sound like we talking in code I got a pure soul I don't do the hate You don't worry 'bout fitting in when you custom made Me and Niko used to plot on how to make a change Now me and Kobe doing shots the night before the game Still drop 40 with liquor in my system Numbers going unlisted just to create some distance I might see you on and off but I'll never switch ya Niggas quick to double cross like both of us Christian Lamborghini got me feeling like I'm Christian Bale And I never bare my morals for the ticket sales Tipping scales bars heavy like triple XL I never tag no one in I'd rather get you myself Running through the 6 storming through the contracts I'm possessed you can see it under the contacts They think I had the silver spoon but they'll get it soon I still got something left to prove since you left me room Paint a plan for the family debt we in the minus And like it's going in a trunk I put it all behind us Where you tryna go? I got it I'll take us wherever I'm a staple in the game all my papers together And my life is on display like Truman They wanna pre the movements gotta start to make 'em sooner My exes made some of my favorite music I dated women from my favorite movies Karma's such a thing of beauty I'd share more of my story but you wouldn't believe it It's far fetched like I threw that shit a hundred meters I keep it 100 like I'm running a fever I might take a breather but I won't ever leave you If I was you I wouldn't like me either"
views,2016,Hotline Bling,You used to call me on my You used to you used to Yeah You used to call me on my cell phone Late night when you need my love Call me on my cell phone Late night when you need my love And I know when that hotline bling That can only mean one thing I know when that hotline bling That can only mean one thing Ever since I left the city you Got a reputation for yourself now Everybody knows and I feel left out Girl you got me down you got me stressed out Cause ever since I left the city you Started wearing less and goin' out more Glasses of champagne out on the dance floor Hangin' with some girls I've never seen before You used to call me on my cell phone Late night when you need my love Call me on my cell phone Late night when you need my love I know when that hotline bling That can only mean one thing I know when that hotline bling That can only mean one thing Ever since I left the city you you you You and me we just don't get along You make me feel like I did you wrong Going places where you don't belong Ever since I left the city you You got exactly what you asked for Running out of pages in your passport Hanging with some girls I've never seen before You used to call me on my cell phone Late night when you need my love Call me on my cell phone Late night when you need my love And I know when that hotline bling That can only mean one thing I know when that hotline bling That can only mean one thing These days all I do is Wonder if you're bendin' over backwards for someone else Wonder if you're rolling up a Backwoods for someone else Doing things I taught you gettin' nasty for someone else You don't need no one else You don't need nobody else no Why you never alone Why you always touching road Used to always stay at home be a good girl You was in the zone yeah You should just be yourself Right now you're someone else You used to call me on my cell phone Late night when you need my love Call me on my cell phone Late night when you need my love And I know when that hotline bling That can only mean one thing I know when that hotline bling That can only mean one thing Ever since I left the city...
what a time to be alive,2015,Digital Dash,My dope in the bushes My dope in the bushes I know how to cook it My bitch good looking My bitch good looking My bitch good looking My dope in the bushes I know how to cook it Yeah yeah yeah I did the digital dash I fuck your bitch in the passenger I give the junky a blast I send that dope to your momma tho Out in the streets like thermometers You rats will never be honorable They know I'mma kid of my word A hustler the first to the first These bitches be naggin the kid They get on my motherfucking nerves I showed her my racks and they love me I'm smokin' that pack on muddy Taliban on these hoes Give a Xan to these hoes Got em playing with they nose I sleep on the beach off the avenue I came to your city with revenue I put in work it was evident I slide on your ass in the 7 deuce Come back on your bitch in a 6 trey Chevy Mercedes I keep em' comin' Fuck all these bitches I keep em' comin' I pull up right now I'm parallel I hit your block with them swangers My niggas ain't nothin' but some bangers I sit in the trap with the gangsters You don't come around here cause its dangerous I be hangin' around here and I'm famous Gotta keep the trigger by my finger Hit her sideways when I banged her In the driveway on a perc I was sideways on a perc Had a stick on me thats a first Got your bitch on me gettin' murked I post up and thats confident I boast up in a drop 6 Gotta Ghost Royce and I pop shit I'm a dope boy with that cock trip I came in the game I had crack on me Got big with my bag with some Act on me I'm single and shit and she lash on me I told em' I'm back on my bachelor I get focused on millions and everything I just took me a trip out to Africa See how we came from the mud and the bottom we did it I see how they countin' this out Bet they ain't never gonna do it again You see why these niggas be hatin' ignorin I'm goin' right in I was born to get this money in this life of sin I bought up before they got my dog on murder again See the fire come out the ass on the Lamborghini When you say you love a nigga do you really mean it When I was sleepin' on the floor you shoulda seen how they treat me I pour the Actavis and pop pills so I can fight the demons I did the digital dash I fuck the bitch in the passenger I give the junky a blast I send that dope to lil mama You rats will never be honorable They know I'mma kid of my word A hustler the first to the first These bitches be nagging the kid Fuck it it is what it is if you get hit you get hit I don't forget or forgive Told myself never again I don't let nobody in Super just showed out again And we just keep servin' and servin' again And again and again and again I move the game up I'm reckless I'm Harlem shaking through the pressure I might put Diddy on my next shit I might could fit you in on a Wednesday I'm not here for no pretend shit Just walked in with a girl that's making triple what I'm making what an entrance That's when you know its a body Zone 6 they know it's a body Kirkwood they know it's a body Lil Mexico know it's a body Scooter in here with the zombies Gucci get out it's a problem I might take Quentin to Follies You hate your life just be honest I got the digital dash She want a picture with all of my niggas that just made the visual last But she too embarrassed to ask I got my foot on their neck and my foot on the gas You remind me of a quarterback that shit is all in the past Esco and Boomin they got it on smash And I got the I got the I got the I got the I I did the digital dash I fuck the bitch on the passenger I give the junky a blast
what a time to be alive,2015,Big Rings,Yea I know we just signed a deal but I need my advance on the next one too They know Imma be around Yea I need it Cause I got a really big team And they need some really big rings They need some really nice things Better be comin' with no strings Better be comin' with no strings We need some really nice things We need some really big rings I got a really big team Cause I got a really big team And they need some really big rings They need some really nice things Better be comin' with no strings Better be comin' with no strings We need some really nice things We need some really big rings I got a really big team Man what a time to be alive You and yours vs. me and mine Are we talkin' teams? Are we talkin' teams? Oh you switchin' sides? Wanna come with me? Look at the smile on me look at the owl on me I do not chase girls but they run a mile for me Say she gon' ride for me I'll buy the tires for you This game is different you only get one shot when niggas gon' foul on you Man fuck 'em all man we want it all Don't get too involved we gon' knock you off And to top it all I'm with all the dogs It's a new season and we still breathin' And I got a really big team And they need some really big rings They need some really nice things Better be comin' with no strings Better be comin' with no strings We need some really nice things We need some really big rings I got a really big team I got a really big team They need some really big rings They need some really nice things Better be comin' with no strings Better be comin' with no strings We need some really nice things We need some really big rings I got a really big team Man what a time to be alive I'm drinkin' lean they thought I died I run with kidnappers I'm talkin' 'bout kidnappers I'm talkin' 'bout murderin' niggas I'm talkin' 'bout carjackers You just a battle rapper I'm an official trapper Niggas be droppin' subliminals they're just some jibber jabber We take a Mellow Yellow then fill it with red forever ever These niggas is jealous jealous these niggas is scared they tellin' tellin' I got a check up on everything I bought some ice when the feds came I bought that new Celine I got some rings I got racks like Serena All of my rings Aquafina my bitch Aquafina Pluto and Jupiter I go to Venus Fresh out the store but I'm not out the cleaners Who keepin' score cause these niggas they losin' Cause I got a really big team And they need some really big rings They need some really nice things Better be comin' with no strings Better be comin' with no strings We need some really nice things We need some really big rings I got a really big team Cause I got a really big team And they need some really big rings They need some really nice things Better be comin' with no strings Better be comin' with no strings We need some really nice things We need some really big rings I got a really big team
what a time to be alive,2015,Live From The Gutter,Hendrix ah ah I woke up like this Reporting live from the fucking gutter bitch I ain't talking about some real money shit I ain't talking nothin' but big money shit I ain't talking nothin' but big money bitch Reporting live from the gutter I'll buy these motherfuckers talking big money shit bitch Straight up out the gutter never had shit Now we got 90210 on our address Talking 10 mill just to get an asset I know them tears did on my last bitch The money made me hungry I'm a savage I've seen stars lining up you can't imagine I watched my broad give up on me like I'm average I went back inside the attic count it up and started laughing ha I went back inside the attic count it up and started laughing ha Cuban links hanging on my wrist I was on welfare Wake up in the house I look around see bales everywhere I see girls everywhere I see scales everywhere I see hell everywhere I get mail everywhere Walked outside Buford County came out in a Learjet A fiend for that lean I ain't even started drinking beer yet The pussy I trap out I need that Came out clean I ain't clean my shit still there Just imagine you was living lavish and they still there Walk up in the crib look pools sitting on the hill now I just need some niggas with me that will keep it real yeah Got a lot of pretty bitches I just paid their bills now Money make me feel good but does she make me feel good Known for gettin' that guala out in europe while we're still hood Known to pop a bottle on a motherfucker like I'm on my last damn dollar Reporting live from the fucking gutter bitch I ain't talking about some real money shit I ain't talking nothin' but big money shit I ain't talking nothin' but big money bitch Reporting live from the gutter I will buy this motherfucker It's not even a discussion (whoop) And I got my niggas with me yeah yeah She gon' end up dipping with me yeah yeah And I got her tripping off of yay yay Pillow talking dishing out on all y'all In one ear and out the other Shut your mouth and take what's coming Live from the gutter dog yeah yeah She don't want pets but I'm a dog yeah yeah And she love it dog yeah yeah And she love it dog yeah yeah On the Billboards all we do is pop shit Soon as that night fall that's when we lock in This for my niggas on that bullshit and that nonsense This for my dogs who go Karrueche with the chopsticks And we gon miss you They don't wanna smoke they don't want no issue But these the times we gotta live through But these the times we gotta live through And I'm... Reporting live from the fucking gutter I ain't talking about some real money shit Reporting live from the damn gutter Swear to god I'll buy this motherfucker ahh
what a time to be alive,2015,Diamonds Dancing,I'm at a stage in my life where I feel like I can conquer anything and everything Sipping on Dom Perignon for no reason Popping tags upper echelon for no reason Seen this bad little jawn she was perfect I'll let her push the foreign right now if she worth it Balling in the middle of the club no jersey I don't want no liquor cause I been drinking that dirty Bring that ace bought a case my niggas with me Bring some ice for my cup I drink with me Diamonds diamonds diamonds diamonds on me dancing Diamonds diamonds diamonds diamonds on me dancing Diamonds diamonds diamonds diamonds on me dancing Diamonds diamonds diamonds diamonds on me dancing And you know what I need from you when I get home You better not be on the phone Talking up a storm like you usually do Talking up your friends like you usually do Telling them I never spend time with you It's hard to find a time we been Sipping on Dom Perignon for no reason Popping tags upper echelon for no reason Seen this bad little jawn she was perfect I'll let her push the foreign right now if she worth it Balling in the middle of the club no jersey I don't want no liquor cause I been drinking that dirty Bring that ace bought a case my niggas with me Bring some ice for my cup I drink with me Diamonds diamonds diamonds diamonds on me dancing Diamonds diamonds diamonds diamonds on me dancing Diamonds diamonds diamonds diamonds on me dancing Diamonds diamonds diamonds diamonds on me dancing I'm familiar with this cash flow And if you juggin' you can vouch for me I did it my way you could vouch for me I put the cocaine in the powder in the couch homie Whenever I step outside the house I keep that glockie on me Bad bitches wanna come buy the paparazzi on me I got so many bad bitches that I barely wanna I'm barely paying attention baby I need substance I know you spend some time putting on some makeup and your outfit but Diamonds diamonds diamonds diamonds on me dancing Diamonds diamonds diamonds diamonds on me dancing Diamonds diamonds diamonds diamonds on me dancing Diamonds diamonds diamonds diamonds on me dancing You doing me dirty You doing me dirty You doing me dirty You doing me dirty You know How we let it get like this I don't know But that nigga can't save your soul nah Doing me dirty you doing me dirty Haven't a nigga heard from you How can you live with yourself Haven't even heard from you How can you live with yourself Ungrateful ungrateful Your momma be ashamed of you I haven't even heard from you not a single word from you Ungrateful I'm too good for you too good for you You should go back to a perfect match for you unstable Doing me dirty (dirty dirty) You're making me nervous I haven't even heard from you You look drained you look exhausted Girl them late nights ain't good for you Really starting to show on you Don't hit me up when it's good for you Ungrateful
what a time to be alive,2015,Scholarships,I wake up on a daily basis I count this money up I'm already rich I go so hard with these riches I fell in love as a dodie I fell in love with the rollie I wake up and pray every morning These demons they callin' my soul I said fuck all of you hoes I'm ballin' outta control I'm ballin' outta control If I could give everything back to you All this passion I got all I ever needed For me to move on and succeed For me to move on and succeed Jealousy envy and greed Too much of that shit I don't need it I turned on the gas with a nickle plated I sit back and laugh cause these niggas traitors Mentally none of this shit can phase me Mentally none of this shit can phase me I came out the trenches I really made it I come out the gutter I really made it I stack up the butter I gotta save it Stack up the cheddar you gotta save it Shoot out the car man no lovey dovey These bitches they lookin' for hubbie hubbie I'm lookin' for paper in any city I got a bitch located in every city Gotta have 'em sticks on us in every city Take the private cause lately out here we gettin' it Spent like seven hundred thousand on both of the Bentleys I got love for the city I juug and get it I wake up on a daily basis I count this money up I'm already rich I go so hard with these riches I feel in love with the dodie I fell in love with the rollie I wake up and pray every morning Demons they call my soul I said fuck all of you hoes I'm ballin' outta control I'm ballin' outta control I'm ballin' outta control I'm ballin' outta control I need acknowledgement If I got it then tell me I got it then I'm ballin' outta control keep on receiving the scholarships Mail comin' to the house nigga please watch your mouth I'm the one without a doubt yeah And I rock Kentucky blue on these hoes Drafted I'm gettin' choose by these hoes Usually they just leave when we done I don't wanna share no room with these hoes Metro gon' make it boom on these hoes And me I just stick and move on these hoes We got that purple rain for the pain My niggas we ain't change we ain't change I wake up on a daily basis I count this money up I'm already rich I go so hard with these riches I fell in love as a dodie I fell in love with the rollie I wake up and pray every morning These demons they callin' my soul I said fuck all of you hoes I'm ballin' outta control I'm ballin' outta control I'm ballin' outta control I'm ballin' outta control
what a time to be alive,2015,Plastic Bag,If anybody know I know Yeah Get a plastic bag Go ahead and pick up all the cash Go ahead and pick up all the cash You danced all night girl you deserve it Oh yeah Magic city on a Monday Esco treat that shit like church on Sunday Niggas look at us like 'maybe one day' Maybe one day maybe one day But for now a nigga got the ones with me I be in the club with the bands Like I got the keyboard and the drums with me Maybe one day maybe one day You will understand how I get it though Man it's everything I ever said it is Mix the liquors course with the sedatives I roll up with the bands on me This a good night to dance on me This a good night to dance on me This a good night to dance on me oh Get a plastic bag Go ahead and pick up all the cash Go ahead and pick up all the cash You danced all night girl you deserve it Get a plastic bag Go ahead and pick up all the cash Go ahead and pick up all the cash You danced all night girl you deserve it Yeah last time they seen this shit it was BMF I know Big Meech and J Bo they were there I know OG indiana and Shuge were there Oh yeah oh yeah Bust it out the wrapper blow it in the air Oh yeah oh yeah Throw more money on a Monday than you make in a year Oh yeah order 60 000 ones Told the owner 'bout to break a record Hit the parking lot it's looking like a video Bunch of pretty hoes high sadity hoes Whole lot of Xans and we pass them around the table Magic City on a Monday We worship this like a Sunday Oh yeah Get a plastic bag Go ahead and pick up all the cash Go ahead and pick up all the cash You danced all night girl you deserve it Get a plastic bag Go ahead and pick up all the cash Go ahead and pick up all the cash You danced all night girl you deserve it Get a plastic bag Go ahead and pick up all the cash Go ahead and pick up all the cash You danced all night girl you deserve it Get a plastic bag Go ahead and pick up all the cash Go ahead and pick up all the cash You danced all night girl you deserve it Get a plastic bag Go ahead and pick up all the cash Go ahead and pick up all the cash You danced all night girl you deserve it Get a plastic bag Go ahead and pick up all the cash Go ahead and pick up all the cash You danced all night girl you deserve it
what a time to be alive,2015,Im The Plug,"Draped in all designer draped in all designer Draped in all designer draped in all designer I got all exotic bitches you gon' think I'm racist I just called a gang of bitches out of immigration You gon' think we printing money cause the way we make it I got all these fucking whips and ain't got no payments Pink slips sitting in the dash fuck with me Got a gang of broads riding and they on drugs with me Got a gang of cash on me like I brought the plug with me Niggas for looking for the plug nigga I the plug really Really I'm the plug really I'm the plug I dropped a few whoopty whoops in my cup Put it on my tab put her on my tab Franchise tag on me Bron Bron Steph Curry wrists nigga Oakland Percies for the bitches Bishop magic Don Juan Standing ovation and an encore And I keep the check Nike concord Pink slips sitting in the dash fuck with me Got a gang of broads riding with me on drugs with me Got a gang of cash on me like I brought the plug with me Niggas for looking for the plug nigga I the plug really Really I'm the plug really I'm the plug Really I'm the plug really I'm the plug Really I'm the plug really I'm the plug Whole time I was ready They was like ""hold up wait a minute"" I was like ""nah nigga let's get it"" This that OVO Halloween gang you know how I'm rocking already If you come here trying to take some there's a lot more where that came from And it really ain't no thing I got Summer P in this thing I just drop the jig in my Red Bull and it really gave me wings Ya ya up and away Y'all should have seen this shit coming in May We doing 300 records a day Who really think they can get in the way Nah nah niggas is bitter they hurting Look at the business mergers Throwed back when I'm swerving Big body my Suburban Everything I do on purpose I'm blowing up like I'm urgent And she was acting like a virgin I gave it to her then I curved her Pink slips sitting in the dash fuck with me Got a gang of broads riding and they on drugs with me Got a gang of cash on me like I brought the plug with me Niggas for looking for the plug nigga I the plug really Really I'm the plug really I'm the plug Really I'm the plug really I'm the plug Really I'm the plug really I'm the plug Really I'm the plug really I'm the plug"
what a time to be alive,2015,Change Locations,Yeah know how nights like this go OVOFBG 60 naked bitches no exaggeration We bought all the bottles had to change locations Smashing all the models now we hit the waitresses When you gettin' a lot of money you can't ever save it But tonight me and my friends we got money to spend Me and my friends we got money to spend Me and my friends me and my friends we got money to spend Me and my friends we got money to spend Me and my friends me and my friends we got money to spend This adderall got me to the ceiling I think them percocets had me in my feelings I peel them hundreds on hundreds I get money on money I get guala on guala I get dollars on dollars then throw out them dollars them bitches gonna holla I got more style than stylists I like that money is money is piling I see that money just piling I see it's piling and piling and piling And piling and piling and piling We do them favors them bitches do cater We go fuck models then fuck go fuck neighbors Fuck all the strippers then we go fuck waitresses yeah 60 naked bitches no exaggeration We bought all the bottles had to change locations Smashing all the models now we hit the waitresses When you gettin' a lot of money you can't ever save it But tonight me and my friends we got money to spend Me and my friends we got money to spend Me and my friends me and my friends we got money to spend Me and my friends we got money to spend Me and my friends me and my friends we got money to spend 2 in the morning my mind is on you 4 in the morning it still hasn't moved Hit me to tell me you get off at 10 Come here I make sure you get off again Roxx got a case but they get off again Fuck all the opps and the shots that they send I let off first then I let off again You may not hear from them ever again Me and my friends we got money to spend Reps Up you know there a hundred of them FBGOVO hundred percent Don't ask no shit when it come to my set Don't ask no shit when it come to my set FBGOVO hundred percent yeah 6 summers straight and I run it again 60 naked no exaggeration We bought all the bottles had to change locations Smashing all the models now we hit the waitresses When you gettin' a lot of money you can't ever save it But tonight me and my friends we got money to spend Me and my friends we got money to spend Me and my friends me and my friends we got money to spend Me and my friends we got money to spend Me and my friends me and my friends we got money to spend 60 naked bitches sitting no exaggeration We bought all the bottles had to change locations Take it to the head baby penetration Money not a problem you can finger trace it Drinking on the syrup taking medications After this club we just change locations After this club we just change locations We don't take it in we just change locations We don't take it in we just change locations
